iso_code,country,Continent,year,co2,co2_growth_prct,co2_growth_abs,consumption_co2,trade_co2,trade_co2_share,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,share_global_coal_co2,share_global_oil_co2,share_global_gas_co2,share_global_flaring_co2,share_global_cement_co2,cumulative_coal_co2,cumulative_oil_co2,cumulative_gas_co2,cumulative_flaring_co2,cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_oil_co2,share_global_cumulative_gas_co2,share_global_cumulative_flaring_co2,share_global_cumulative_cement_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,primary_energy_consumption,energy_per_capita,energy_per_gdp,population,gdp
AUT,Austria,Europe,2000,66.163,0.915,0.6,96.615,30.452,46.026,8.2,11.974,0.263,4098.116,0.394,0.23,0.335,0.175,1.712,15.753,0.165,15.246,32.223,1.064,0.212,1.952,0.02,1.89,3.993,0.132,0.175,0.313,0.321,0.062,0.239,2426.217,1175.921,381.16,1.37,102.283,0.463,0.323,0.314,0.013,0.551,66.22,8.207,8.94,1.108,4.59,0.569,377.378,46768.93,1.31,8069000,2.88E+11
AUT,Austria,Europe,2001,70.103,5.955,3.94,99.046,28.944,41.288,8.657,12.231,0.277,4168.219,0.391,0.248,0.35,0.179,1.72,16.557,0.183,16.146,34.41,1.087,0.212,2.045,0.023,1.994,4.249,0.134,0.183,0.332,0.337,0.069,0.23,2442.774,1210.33,397.306,1.553,104.003,0.458,0.323,0.315,0.014,0.538,75.32,9.301,8.8,1.087,4.46,0.551,392.608,48482.101,1.387,8098000,2.83E+11
AUT,Austria,Europe,2002,71.919,2.591,1.816,99.393,27.475,38.202,8.842,12.219,0.278,4240.137,0.388,0.246,0.34,0.182,1.736,16.737,0.167,16.06,36.061,1.158,0.213,2.058,0.021,1.974,4.433,0.142,0.177,0.348,0.325,0.06,0.22,2459.51,1246.392,413.366,1.72,105.739,0.453,0.323,0.316,0.016,0.526,77,9.466,8.69,1.068,4.77,0.586,394.277,48472.707,1.35,8134000,2.92E+11
AUT,Austria,Europe,2003,77.554,7.836,5.635,100.836,23.282,30.021,9.486,12.333,0.285,4317.692,0.386,0.265,0.344,0.193,1.754,18.023,0.184,17.276,39.192,1.125,0.215,2.204,0.023,2.113,4.794,0.138,0.177,0.369,0.338,0.066,0.207,2477.533,1285.584,430.642,1.904,107.494,0.448,0.325,0.316,0.017,0.513,82.93,10.143,8.53,1.043,5.58,0.682,400.823,49024.339,1.368,8176000,2.93E+11
AUT,Austria,Europe,2004,77.674,0.155,0.12,103.71,26.036,33.519,9.453,12.621,0.273,4395.366,0.383,0.256,0.342,0.19,1.79,17.766,0.165,17.672,39.105,1.176,0.218,2.162,0.02,2.151,4.759,0.143,0.163,0.356,0.335,0.055,0.198,2495.299,1324.689,448.314,2.069,109.284,0.443,0.326,0.317,0.018,0.5,82.53,10.044,8.45,1.028,3.79,0.461,407.873,49637.665,1.346,8217000,3.03E+11
AUT,Austria,Europe,2005,79.192,1.954,1.518,106.176,26.984,34.074,9.594,12.864,0.269,4474.559,0.38,0.254,0.34,0.191,1.797,17.862,0.16,18.69,39.538,1.145,0.218,2.164,0.019,2.264,4.79,0.139,0.155,0.357,0.346,0.05,0.188,2513.161,1364.227,467.004,2.229,111.081,0.437,0.326,0.318,0.019,0.487,82.42,9.985,8.24,0.998,3.81,0.462,415.61,50352.568,1.332,8254000,3.12E+11
AUT,Austria,Europe,2006,76.898,-2.897,-2.294,108.257,31.359,40.779,9.282,13.067,0.253,4551.457,0.377,0.237,0.333,0.187,1.954,17.865,0.18,17.487,38.254,1.157,0.236,2.156,0.022,2.111,4.617,0.14,0.147,0.343,0.317,0.056,0.187,2531.026,1402.481,484.491,2.41,113.035,0.431,0.327,0.318,0.02,0.474,82.82,9.996,8.06,0.973,3.77,0.455,412.02,49730.816,1.268,8285000,3.25E+11
AUT,Austria,Europe,2007,74.263,-3.428,-2.636,102.86,28.597,38.508,8.932,12.372,0.237,4625.719,0.374,0.22,0.305,0.184,2.131,17.455,0.185,16.486,36.809,1.197,0.256,2.099,0.022,1.983,4.427,0.144,0.137,0.328,0.289,0.055,0.19,2548.481,1439.291,500.977,2.595,115.166,0.425,0.327,0.317,0.021,0.461,80.37,9.667,7.88,0.948,3.66,0.44,403.195,48495.944,1.196,8314000,3.37E+11
AUT,Austria,Europe,2008,73.588,-0.908,-0.674,101.314,27.726,37.677,8.821,12.145,0.23,4699.308,0.37,0.215,0.296,0.179,2.133,17.028,0.162,17.427,35.623,1.215,0.256,2.041,0.019,2.089,4.27,0.146,0.128,0.318,0.297,0.046,0.188,2565.509,1474.914,518.404,2.757,117.299,0.418,0.327,0.316,0.021,0.449,80.16,9.609,7.8,0.935,3.79,0.454,412.168,49408.722,1.205,8342000,3.42E+11
AUT,Austria,Europe,2009,67.494,-8.282,-6.094,92.83,25.336,37.539,8.061,11.087,0.215,4766.802,0.366,0.201,0.276,0.169,1.799,12.833,0.205,17.027,34.642,0.988,0.215,1.533,0.024,2.034,4.137,0.118,0.098,0.315,0.295,0.06,0.154,2578.342,1509.556,535.431,2.962,119.097,0.412,0.326,0.316,0.022,0.436,72.87,8.703,7.6,0.908,3.53,0.422,399.393,47700.099,1.189,8373000,3.36E+11
