Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,AUT,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,69.87340081,66.24690913,66.26527856,57.17162676,59.3433202,57.52322173,57.24560897,58.79254264,59.39964977,61.66837566,56.47098655,54.98940134,63.75345656,65.13245546,66.55738769,59.99708563
Bulgaria,BGR,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,6.57629287,3.989984839,5.202874149,7.156019656,7.647371216,9.863094697,9.313876313,6.693527727,6.334110892,8.18763125,10.98941695,5.831317594,6.92586788,9.473170958,9.813113986,11.61421361
Switzerland,CHE,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,55.70443409,58.13279293,53.79057512,53.24006116,52.8427151,54.03450484,49.82457834,53.05618688,53.7561907,53.57940996,54.59486465,51.50426154,56.64807749,55.96769499,54.25808108,57.88159826
Czech Republic,CZE,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2.41115881,2.766926206,3.279163103,1.669967156,2.409595417,2.904883377,3.048270256,2.380247026,2.429917762,2.975548804,3.269176669,2.262146216,2.455962255,3.178774068,2.243348689,2.172702624
Germany,DEU,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,3.797222848,3.906778991,3.973509934,2.9358701,3.288469248,3.18902241,3.162160283,3.340734744,3.222516473,3.225779113,3.344010291,2.910109547,3.487954492,3.633491062,3.149349292,2.960682843
Denmark,DNK,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,0.083210829,0.07421347,0.08145188,0.045468324,0.066772183,0.063455278,0.050426432,0.071217825,0.07100721,0.052222192,0.054037363,0.048255698,0.055372789,0.037417609,0.04660701,0.06218261
Spain,ESP,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,12.79009239,17.54345317,8.846392711,15.7329789,11.23577635,6.354575135,8.782334513,9.047538588,7.513071664,9.048922633,14.18074551,10.49486679,6.989474114,13.09847395,14.2459147,10.12988135
Estonia,EST,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,0.058733701,0.082517977,0.070364724,0.127965351,0.213509317,0.215580598,0.143855323,0.172272354,0.264625272,0.364506208,0.208269053,0.232684402,0.350965154,0.195856874,0.216937169,0.259191706
Finland,FIN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,20.95004001,17.72816368,14.37662598,11.37371629,17.55489545,19.5290584,13.96394207,17.44968921,22.09939043,17.60257531,16.01755212,16.93174243,23.94370198,18.01647557,19.6742738,24.44567547
France,FRA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,12.40003438,13.61982519,10.90927154,10.49752094,10.47194528,9.012447261,9.887747791,10.21796432,11.19088892,10.74071492,11.11371027,8.050505504,10.48464427,12.46870305,11.26193545,9.661149897
United Kingdom,GBR,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,1.358530885,1.060758222,1.244685968,0.816003479,1.237738897,1.244733528,1.167424955,1.291952841,1.33591456,1.401341836,0.941930575,1.56062359,1.468100414,1.323307255,1.757567262,1.869745151
Greece,GRC,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,6.912494151,3.950938277,5.190471777,8.230722736,7.943821944,8.442290541,9.745924658,4.131651544,5.264496439,8.796281141,13.00399184,6.778543906,7.245232101,11.11111111,8.891007687,11.76720312
Croatia,HRV,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,57.29379384,56.22895623,46.05273514,41.37355973,54.88234871,53.88680401,51.20328097,37.46512555,45.23120257,55.41510845,61.67883212,44.76165066,45.66222977,61.81974618,67.03632033,56.86954974
Hungary,HUN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,0.505811145,0.510778525,0.536548939,0.500805389,0.608164234,0.56494015,0.518698235,0.525525526,0.532167395,0.634955999,0.503063873,0.616341375,0.614984842,0.703109527,1.024088187,0.771208226
Ireland,IRL,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,3.573691547,2.419616759,3.671054221,2.405373879,2.49851279,2.462342933,2.670010326,2.395231084,3.239935803,3.226267973,2.125922771,2.602709468,2.954939022,2.342130987,2.747210167,2.871988327
Italy,ITA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,16.37357793,17.21663589,14.23907874,12.80922739,14.31416236,12.15031667,12.0231011,10.64687141,13.27573064,17.04198242,17.10864101,15.24141188,14.08519398,18.33009736,21.05056883,16.17334726
Lithuania,LTU,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,3.057279022,2.269878847,2.0469527,1.726152539,2.245093857,3.128685397,3.287240209,3.125463994,3.016432806,2.895581507,10.81297557,11.30475742,9.339810113,12.36355007,10.7605178,8.196336308
