Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,AUT,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2.670608277,2.909918614,2.747669094,3.611201955,4.858913928,6.103555755,8.269916193,9.894486315,9.831238668,9.471319139,9.740336209,10.6420221,10.77572406,12.89233153,14.49948065,16.49369364
Bulgaria,BGR,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0,0,0,0,0.002413943,0.011370872,0.043954112,0.109462701,0.309528082,0.585167882,1.588543364,2.035063871,4.510616372,6.605679259,5.930487779,6.374379385
Switzerland,CHE,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1.296049846,1.265163669,1.429771634,1.48470948,1.570500274,1.823876516,1.902278872,1.849817125,1.922847425,1.964813343,2.134681766,2.588729169,2.826533607,3.226135041,3.7573821,4.316383497
Czech Republic,CZE,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.721427494,0.704528922,0.665833279,0.598918083,0.861678005,0.917845504,1.159538097,1.505172964,2.049342698,2.725646805,3.648959115,6.090393657,6.847624211,7.644637708,8.535066278,9.231867919
Germany,DEU,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2.401308375,2.605665027,3.669190348,4.617107602,5.979005245,6.961188698,8.159852829,10.59727331,11.47671742,12.85277457,13.38306338,17.47317317,19.51250405,20.43905869,22.98074728,26.27108728
Denmark,DNK,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,15.37181372,15.42049882,17.19907348,17.44468021,23.48897022,27.00711803,20.12233891,26.1394852,27.50163863,27.60629965,31.9283619,40.2055125,48.27204326,45.92291972,55.85384042,65.44374201
Spain,ESP,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2.823633788,3.610120695,4.984223711,5.946065687,6.898919943,8.246817185,8.860485415,10.26176207,12.47001396,16.33232717,18.59479753,19.52677741,22.5952739,26.48510366,25.85934119,24.82000922
Estonia,EST,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.152707624,0.129671107,0.281458895,0.354365587,0.36878882,0.872121509,1.191944102,1.017227235,1.597202533,5.797926871,7.844800987,8.911812611,11.99130943,8.994350282,10.94327495,14.15954689
Finland,FIN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,12.45998628,11.19942003,12.07924755,11.23496905,12.3024055,13.72021195,13.32976966,12.48815312,13.77854117,12.50607057,13.97352307,15.95896654,16.61814205,17.95051714,18.90621788,20.0533551
France,FRA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.567842088,0.636546693,0.688004624,0.732497008,0.771043238,0.848199436,1.059828039,1.472961995,1.788320013,2.38644865,2.743649043,3.524241743,4.342709801,4.576583185,5.193969496,6.196516733
United Kingdom,GBR,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1.30457429,1.43657419,1.64848737,1.868943823,2.37529327,3.038748084,3.434664362,3.718340539,4.341137645,5.365466627,5.870882852,7.928429511,9.955859762,13.66517288,17.50528642,22.97030527
Greece,GRC,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.844174076,1.573215766,1.440355918,1.944564373,2.118579226,2.33732142,3.014340551,3.194016999,3.875254323,4.601106492,5.337563408,6.983032515,9.458458804,14.01232622,15.29706215,16.88858014
Croatia,HRV,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.008878629,0,0,0,0.043174786,0.183809451,0.232144239,0.342766042,0.477270949,0.590875093,1.162476345,2.276769833,4.012083451,4.682010468,6.921702888,9.957287774
Hungary,HUN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.184706317,0.194974598,0.118925796,0.48323327,2.168624659,4.664951337,3.644831144,4.186686687,5.356652092,7.427314248,7.578068556,6.901912879,7.024686011,8.50003301,9.659090909,9.811482434
Ireland,IRL,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,1.432011152,1.749756414,1.891881013,2.172076747,3.029942495,4.846640131,6.457442101,7.638165691,8.756854353,11.4672008,11.10519591,17.36121337,16.41059651,19.66373412,22.01255425,25.09341969
Italy,ITA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2.474614823,2.772036161,3.169724572,3.561573016,3.899221373,4.1679019,4.433343842,4.833853521,5.275462719,6.97695389,8.651718863,12.35331684,16.93519633,20.57525121,22.34103755,22.50587792
Lithuania,LTU,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0,0.013925637,0.023129409,0.03717867,0.037329352,0.062434964,0.314647677,1.187824796,1.500712839,1.775592433,7.428914698,14.88459727,16.7807463,23.84907451,29.98921251,31.21183654
Latvia,LVA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.096711799,0.140186916,0.528301887,1.811320755,1.85540627,1.793721973,1.799223063,1.991196814,1.952976868,1.777697971,1.735325185,3.117820807,6.518566564,10.01771622,15.75568955,16.55521417
Malta,MLT,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0,0,0,0,0,0,0,0,0,0,0.04730369,0.458926113,1.133391456,1.554864505,3.340757238,7.674597084
