Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,AUT,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,27.21047533,30.45343639,30.590057,38.79202024,35.32317428,35.90801247,33.81177151,30.61007537,30.02680965,27.91784788,32.86866665,33.38097379,24.30213943,20.83501162,17.72104648,22.22204232
Bulgaria,BGR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,48.66407519,51.09569532,46.8163817,52.00576451,51.71389948,47.66669699,47.78691047,59.07958171,57.99614211,55.19454473,54.2538627,59.47464166,54.64265012,50.980984,50.41447354,50.40416889
Switzerland,CHE,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,1.639344262,1.536772777,1.703200183,1.788990826,1.794410084,1.87578951,1.585232393,1.378708289,1.275434095,1.220884016,1.659298734,1.621931052,1.423539771,1.185972061,0.80311546,1.069640074
Croatia,HRV,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,42.69732753,43.77104377,53.94726486,58.62644027,45.07447651,45.92938654,48.56457479,62.19210841,54.29152648,43.99401645,37.15869154,52.96157951,50.32568677,33.49824335,26.04197678,33.17316248
Czech Republic,CZE,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,78.22002167,76.65355497,71.38890716,66.48232226,65.30134861,65.98601262,64.64723743,66.28230254,63.63047002,60.95648765,60.13222056,58.88033558,55.55504286,53.26830062,53.40086491,55.91531907
Denmark,DNK,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,72.51823704,74.12600387,74.56410517,80.55471355,74.80957563,70.6781438,78.02065291,71.76721945,70.09230937,70.16463733,66.09541454,57.53782395,49.29481124,51.98169415,41.84998757,31.89967872
Estonia,EST,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,9.550099847,9.642815042,9.710331887,7.864947337,7.055512422,7.760901519,8.353884094,5.118949959,6.984216993,6.276341269,5.808392471,5.630962538,5.765856104,3.902071563,5.053832557,7.151771143
European Union,EUU,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,50.63903561,49.6885337,51.2634881,52.34779343,51.14432885,51.66259454,51.7535308,52.33818983,50.72941428,49.20487525,47.55618485,47.56187913,45.67923887,42.73035535,40.21366515,41.5289177
Finland,FIN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,28.4240311,31.7012593,34.50470282,41.21860399,35.52565671,26.80286759,36.31305277,31.59086713,26.97076144,30.41945913,33.31184768,27.43500088,20.77942367,25.57222448,20.81387494,16.18583903
France,FRA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,9.256442644,8.253466988,9.234868053,9.925129652,9.637952559,10.80145656,9.710904902,9.994820509,9.434917599,9.280089247,9.852468168,8.535250506,8.706133185,7.766403126,4.824546466,6.055787639
Germany,DEU,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,63.15460246,62.69870731,62.79293552,64.37857333,62.68169954,62.31682364,61.02710152,62.79236755,60.75207289,59.73886631,59.45724669,60.40087084,59.68113795,59.23832245,56.7323431,55.06305317
Greece,GRC,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,91.93823117,94.28178461,93.16896839,89.5812106,89.70125652,89.05211436,87.19819206,92.63446604,90.83004832,86.57151275,81.4335768,86.04745488,83.19757779,74.72773751,75.61329281,71.12809232
Hungary,HUN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,58.85879912,60.34875738,60.67428161,66.66569044,61.79838614,55.87873364,57.92966898,58.19319319,56.80449719,48.65211095,49.33772176,48.56048197,46.42125018,39.62170727,35.48584649,36.55988399
Ireland,IRL,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,87.51742491,86.92757389,86.05643441,87.26519448,88.57426135,83.13041442,82.98790382,82.16684023,78.82171994,75.90314042,79.03534923,72.19481667,71.46752146,68.82111437,65.29370738,62.80650557
Italy,ITA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,80.67022053,79.43205808,82.02513584,82.92778348,80.5826687,82.79982482,82.67060135,83.63062987,80.61379084,75.15736903,73.26164011,71.36984114,67.96480299,60.03633092,55.4890765,60.24676625
Latvia,LVA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,29.85976789,32.68691589,36.52830189,40.62893082,31.84047771,30.41174073,43.03823349,40.72521484,39.09745923,36.14652541,45.14863437,49.5077125,33.37116913,43.05041069,45.45808209,49.82830291
Lithuania,LTU,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,20.10610557,17.65074502,14.90690413,14.94582537,15.58767065,22.2129726,22.08329883,19.95545657,19.41922413,19.36761593,76.75210252,67.75788978,68.86729962,57.54627432,51.4832794,52.93565054
