"country","country_name","type","level","2016","2017","2018"
"BE","Belgium","Total net production","Total",82520,82948.5,69212.347
"BE","Belgium","Imports","Total",14648,14189.4,21635.908
"BE","Belgium","Exports","Total",8465,8167.8,4308.347
"BE","Belgium","Energy absorbed by pumping","Total",1475,1485.4,1347.901
"BE","Belgium","Energy supplied","Total",87228,87484.7,85192.007
"BG","Bulgaria","Total net production","Total",41221,41351.303,41705
"BG","Bulgaria","Imports","Total",4568,3705.423,2223
"BG","Bulgaria","Exports","Total",10940,9185.794,10030
"BG","Bulgaria","Energy absorbed by pumping","Total",918,949.527,425
"BG","Bulgaria","Energy supplied","Total",33931,34921.405,33473
"CZ","Czechia","Total net production","Total",76398,79885.766,81967.627
"CZ","Czechia","Imports","Total",13817,15072,11573.411
"CZ","Czechia","Exports","Total",24791,28108.9,25480.503
"CZ","Czechia","Energy absorbed by pumping","Total",1570,1530.5,1372.884
"CZ","Czechia","Energy supplied","Total",63854,65318.366,66687.651
"DK","Denmark","Total net production","Total",29077.932,29653.682,28939.089
"DK","Denmark","Imports","Total",14976.458,15218.109,15633.609
"DK","Denmark","Exports","Total",9919.365,10655.394,10409.266
"DK","Denmark","Energy absorbed by pumping","Total",0,0,0
"DK","Denmark","Energy supplied","Total",34135.025,34216.397,34163.432
"DE","Germany","Total net production","Total",614155,619059,571799.713
"DE","Germany","Imports","Total",28338,27842,31701.359
"DE","Germany","Exports","Total",78863,80301,80187.327
"DE","Germany","Energy absorbed by pumping","Total",7497,8252,8347.706
"DE","Germany","Energy supplied","Total",556133,558348,514966.039
"EE","Estonia","Total net production","Total",10424,11234,10834.143
"EE","Estonia","Imports","Total",3577,2281,3053
"EE","Estonia","Exports","Total",5614,5015,4949.7
"EE","Estonia","Energy absorbed by pumping","Total",0,0,0
"EE","Estonia","Energy supplied","Total",8387,8500,8937.443
"IE","Ireland","Total net production","Total",29689.24,30086.974,29234.886
"IE","Ireland","Imports","Total",871.263,1116.408,1621.519
"IE","Ireland","Exports","Total",1583.011,1794.91,1649.249
"IE","Ireland","Energy absorbed by pumping","Total",532.404,398.643,499.328
"IE","Ireland","Energy supplied","Total",28445.088,29009.829,28707.828
"EL","Greece","Total net production","Total",50227,50589.215,50708.949
"EL","Greece","Imports","Total",9833,8696,8705.56
"EL","Greece","Exports","Total",1037,2459,2186.68
"EL","Greece","Energy absorbed by pumping","Total",32,110,28.49
"EL","Greece","Energy supplied","Total",58991,56716.215,57199.339
"ES","Spain","Total net production","Total",264344,264918,261071.191
"ES","Spain","Imports","Total",21845,23762,24017.905
"ES","Spain","Exports","Total",14178,14593,12915.79
