"country_name","year","country","type","GWh","Country Code","Indicator Name","Indicator Code","total population","per_capita_kwh"
"Albania","2016","AL","Conventional thermal",0,"ALB","Population, total","SP.POP.TOTL",2876101,0
"Albania","2016","AL","Other",0,"ALB","Population, total","SP.POP.TOTL",2876101,0
"Albania","2016","AL","Geothermal",0,"ALB","Population, total","SP.POP.TOTL",2876101,0
"Albania","2016","AL","Nuclear",0,"ALB","Population, total","SP.POP.TOTL",2876101,0
"Albania","2016","AL","Total Renewable",7136,"ALB","Population, total","SP.POP.TOTL",2876101,2481.13678900706
"Albania","2016","AL","Wind",0,"ALB","Population, total","SP.POP.TOTL",2876101,0
"Albania","2016","AL","Hydro",7136,"ALB","Population, total","SP.POP.TOTL",2876101,2481.13678900706
"Albania","2016","AL","% Renewable",100,"ALB","Population, total","SP.POP.TOTL",2876101,34.7692935679241
"Albania","2016","AL","Solar",0,"ALB","Population, total","SP.POP.TOTL",2876101,0
"Albania","2017","AL","Conventional thermal",0,"ALB","Population, total","SP.POP.TOTL",2873457,0
"Albania","2017","AL","Wind",0,"ALB","Population, total","SP.POP.TOTL",2873457,0
"Albania","2017","AL","Hydro",4496.607,"ALB","Population, total","SP.POP.TOTL",2873457,1564.87708011639
"Albania","2017","AL","Nuclear",0,"ALB","Population, total","SP.POP.TOTL",2873457,0
"Albania","2017","AL","Solar",1.2,"ALB","Population, total","SP.POP.TOTL",2873457,0.417615436737004
"Albania","2017","AL","Total Renewable",4497.807,"ALB","Population, total","SP.POP.TOTL",2873457,1565.29469555313
"Albania","2017","AL","Other",0,"ALB","Population, total","SP.POP.TOTL",2873457,0
"Albania","2017","AL","Geothermal",0,"ALB","Population, total","SP.POP.TOTL",2873457,0
"Albania","2017","AL","% Renewable",100,"ALB","Population, total","SP.POP.TOTL",2873457,34.8012863947503
"Albania","2018","AL","Solar",0,"ALB","Population, total","SP.POP.TOTL",2866376,0
"Albania","2018","AL","Conventional thermal",0,"ALB","Population, total","SP.POP.TOTL",2866376,0
"Albania","2018","AL","Other",0,"ALB","Population, total","SP.POP.TOTL",2866376,0
"Albania","2018","AL","Geothermal",0,"ALB","Population, total","SP.POP.TOTL",2866376,0
"Albania","2018","AL","Nuclear",0,"ALB","Population, total","SP.POP.TOTL",2866376,0
"Albania","2018","AL","Total Renewable",8596.537,"ALB","Population, total","SP.POP.TOTL",2866376,2999.09607113652
"Albania","2018","AL","Wind",0,"ALB","Population, total","SP.POP.TOTL",2866376,0
"Albania","2018","AL","Hydro",8596.537,"ALB","Population, total","SP.POP.TOTL",2866376,2999.09607113652
"Albania","2018","AL","% Renewable",100,"ALB","Population, total","SP.POP.TOTL",2866376,34.8872583359615
"Austria","2016","AT","Conventional thermal",18065.01,"AUT","Population, total","SP.POP.TOTL",8736668,2067.72307245737
"Austria","2016","AT","Hydro",40772.188,"AUT","Population, total","SP.POP.TOTL",8736668,4666.78921529352
