"year","type","GWh","country","country_name"
"1949","Coal",3509198.4337415,"US","United States"
"1949","Conventional thermal",8423002.99032349,"US","United States"
"1949","Crude Oil",3130952.11608614,"US","United States"
"1949","Geothermal",NA,"US","United States"
"1949","Hydro",417544.803841984,"US","United States"
"1949","Natural Gas",891426.22024792,"US","United States"
"1949","Nuclear",0,"US","United States"
"1949","Other",454043.875148864,"US","United States"
"1949","Solar",NA,"US","United States"
"1949","Total",9294591.66931434,"US","United States"
"1949","Total Renewable",871588.678990848,"US","United States"
"1949","Wind",NA,"US","United States"
"1950","Coal",4120618.83691472,"US","United States"
"1950","Conventional thermal",9540402.68638576,"US","United States"
"1950","Crude Oil",3354705.13892349,"US","United States"
"1950","Geothermal",NA,"US","United States"
"1950","Hydro",414816.019090592,"US","United States"
"1950","Natural Gas",1032539.35527378,"US","United States"
"1950","Nuclear",0,"US","United States"
"1950","Other",457866.987283104,"US","United States"
"1950","Solar",NA,"US","United States"
"1950","Total",10413085.3996884,"US","United States"
"1950","Total Renewable",872683.006373696,"US","United States"
"1950","Wind",NA,"US","United States"
"1951","Coal",4225887.0352664,"US","United States"
"1951","Conventional thermal",10486703.6806905,"US","United States"
"1951","Crude Oil",3820686.67804813,"US","United States"
"1951","Geothermal",NA,"US","United States"
"1951","Hydro",417273.12695824,"US","United States"
"1951","Natural Gas",1220064.98368798,"US","United States"
"1951","Nuclear",0,"US","United States"
"1951","Other",449767.088995168,"US","United States"
"1951","Solar",NA,"US","United States"
"1951","Total",11353743.8966439,"US","United States"
"1951","Total Renewable",867040.215953408,"US","United States"
"1951","Wind",NA,"US","United States"
"1952","Coal",3732058.76209354,"US","United States"
"1952","Conventional thermal",10247130.9744577,"US","United States"
"1952","Crude Oil",3892291.26771453,"US","United States"
"1952","Geothermal",NA,"US","United States"
"1952","Hydro",429587.094190464,"US","United States"
"1952","Natural Gas",1311390.4723248,"US","United States"
"1952","Nuclear",0,"US","United States"
"1952","Other",432094.903353568,"US","United States"
"1952","Solar",NA,"US","United States"
"1952","Total",11108812.9720017,"US","United States"
"1952","Total Renewable",861681.997544032,"US","United States"
"1952","Wind",NA,"US","United States"
"1953","Coal",3598252.18196371,"US","United States"
"1953","Conventional thermal",10356651.340993,"US","United States"
"1953","Crude Oil",4006596.89871347,"US","United States"
"1953","Geothermal",NA,"US","United States"
"1953","Hydro",414068.101714848,"US","United States"
"1953","Natural Gas",1375901.27669344,"US","United States"
"1953","Nuclear",0,"US","United States"
"1953","Other",415750.915810272,"US","United States"
"1953","Solar",NA,"US","United States"
"1953","Total",11186470.3585181,"US","United States"
"1953","Total Renewable",829819.01752512,"US","United States"
"1953","Wind",NA,"US","United States"
"1954","Coal",3089686.53686426,"US","United States"
"1954","Conventional thermal",9891801.64234842,"US","United States"
"1954","Crude Oil",3935044.76876896,"US","United States"
"1954","Geothermal",NA,"US","United States"
"1954","Hydro",398509.837715584,"US","United States"
"1954","Natural Gas",1433535.1683576,"US","United States"
"1954","Nuclear",0,"US","United States"
"1954","Other",408636.908608544,"US","United States"
"1954","Solar",NA,"US","United States"
"1954","Total",10698948.6817436,"US","United States"
"1954","Total Renewable",807146.746324128,"US","United States"
"1954","Wind",NA,"US","United States"
"1955","Coal",3625174.27677978,"US","United States"
"1955","Conventional thermal",10945265.8325564,"US","United States"
"1955","Crude Oil",4223060.9509191,"US","United States"
"1955","Geothermal",NA,"US","United States"
"1955","Hydro",398530.938832768,"US","United States"
"1955","Natural Gas",1548515.15589322,"US","United States"
"1955","Nuclear",0,"US","United States"
"1955","Other",417375.115691296,"US","United States"
"1955","Solar",NA,"US","United States"
"1955","Total",11761171.8870804,"US","United States"
"1955","Total Renewable",815906.054524064,"US","United States"
"1955","Wind",NA,"US","United States"
"1956","Coal",3899701.56977005,"US","United States"
"1956","Conventional thermal",11650457.2559267,"US","United States"
"1956","Crude Oil",4448889.50308835,"US","United States"
"1956","Geothermal",NA,"US","United States"
"1956","Hydro",420472.290780192,"US","United States"
"1956","Natural Gas",1650933.09153416,"US","United States"
"1956","Nuclear",0,"US","United States"
"1956","Other",414950.831783712,"US","United States"
"1956","Solar",NA,"US","United States"
"1956","Total",12485880.0854196,"US","United States"
"1956","Total Renewable",835423.122563904,"US","United States"
"1956","Wind",NA,"US","United States"
"1957","Coal",3827916.4483233,"US","United States"
"1957","Conventional thermal",11757554.2177677,"US","United States"
"1957","Crude Oil",4448240.35066387,"US","United States"
"1957","Geothermal",NA,"US","United States"
"1957","Hydro",444182.326647136,"US","United States"
"1957","Natural Gas",1740698.70939026,"US","United States"
"1957","Nuclear",32.823960064,"US","United States"
"1957","Other",390834.013268832,"US","United States"
"1957","Solar",NA,"US","United States"
"1957","Total",12592603.3816437,"US","United States"
"1957","Total Renewable",835016.339915968,"US","United States"
"1957","Wind",NA,"US","United States"
"1958","Coal",3160211.15963034,"US","United States"
"1958","Conventional thermal",10903744.9884308,"US","United States"
"1958","Crude Oil",4162818.140572,"US","United States"
"1958","Geothermal",NA,"US","United States"
"1958","Hydro",466559.475278624,"US","United States"
"1958","Natural Gas",1790357.84411422,"US","United States"
"1958","Nuclear",561.23110288,"US","United States"
"1958","Other",387769.075997856,"US","United States"
"1958","Solar",NA,"US","United States"
"1958","Total",11758634.7708101,"US","United States"
"1958","Total Renewable",854328.55127648,"US","United States"
"1958","Wind",NA,"US","United States"
"1959","Coal",3158715.32487885,"US","United States"
"1959","Conventional thermal",11439169.1319237,"US","United States"
"1959","Crude Oil",4376319.53731078,"US","United States"
"1959","Geothermal",NA,"US","United States"
"1959","Hydro",453810.29750448,"US","United States"
"1959","Natural Gas",1952066.98833149,"US","United States"
"1959","Nuclear",640.946434464,"US","United States"
"1959","Other",396488.233460928,"US","United States"
"1959","Solar",NA,"US","United States"
"1959","Total",12290108.6093236,"US","United States"
"1959","Total Renewable",850298.530965408,"US","United States"
"1959","Wind",NA,"US","United States"
"1960","Coal",3170266.42811066,"US","United States"
"1960","Conventional thermal",11680298.0455488,"US","United States"
"1960","Crude Oil",4376902.45567299,"US","United States"
"1960","Geothermal",105.212514848,"US","United States"
"1960","Hydro",471250.9569992,"US","United States"
"1960","Natural Gas",2066564.43434706,"US","United States"
"1960","Nuclear",1766.046279872,"US","United States"
"1960","Other",386815.71580064,"US","United States"
"1960","Solar",NA,"US","United States"
"1960","Total",12540235.9771434,"US","United States"
"1960","Total Renewable",858171.885314688,"US","United States"
"1960","Wind",NA,"US","United States"
"1961","Coal",3061740.15865155,"US","United States"
"1961","Conventional thermal",11807449.5677757,"US","United States"
"1961","Crude Oil",4456496.16276211,"US","United States"
"1961","Geothermal",293.364143072,"US","United States"
"1961","Hydro",485461.387138336,"US","United States"
"1961","Natural Gas",2144606.47664547,"US","United States"
"1961","Nuclear",5767.052554816,"US","United States"
"1961","Other",379457.287324864,"US","United States"
"1961","Solar",NA,"US","United States"
"1961","Total",12678428.6589368,"US","United States"
"1961","Total Renewable",865212.038606272,"US","United States"
"1961","Wind",NA,"US","United States"
"1962","Coal",3194638.80460032,"US","United States"
"1962","Conventional thermal",12223963.9337285,"US","United States"
"1962","Crude Oil",4549018.70019251,"US","United States"
"1962","Geothermal",310.948407392,"US","United States"
"1962","Hydro",532258.389773152,"US","United States"
"1962","Natural Gas",2240153.21446784,"US","United States"
"1962","Nuclear",7735.317874368,"US","United States"
"1962","Other",381063.316799424,"US","United States"
"1962","Solar",NA,"US","United States"
"1962","Total",13145332.1996539,"US","United States"
"1962","Total Renewable",913632.654979968,"US","United States"
"1962","Wind",NA,"US","United States"
"1963","Coal",3472666.24540349,"US","United States"
"1963","Conventional thermal",12899444.3979616,"US","United States"
"1963","Crude Oil",4679112.0698401,"US","United States"
"1963","Geothermal",515.80508672,"US","United States"
"1963","Hydro",519132.90874256,"US","United States"
"1963","Natural Gas",2373833.04135902,"US","United States"
"1963","Nuclear",11179.782183584,"US","United States"
"1963","Other",387825.638714752,"US","United States"
"1963","Solar",NA,"US","United States"
"1963","Total",13818098.5326892,"US","United States"
"1963","Total Renewable",907474.352544032,"US","United States"
"1963","Wind",NA,"US","United States"
"1964","Coal",3670387.23027043,"US","United States"
"1964","Conventional thermal",13411864.220729,"US","United States"
"1964","Crude Oil",4737074.2011049,"US","United States"
"1964","Geothermal",624.827525504,"US","United States"
"1964","Hydro",552824.066108608,"US","United States"
"1964","Natural Gas",2502201.39467682,"US","United States"
"1964","Nuclear",11669.797015968,"US","United States"
"1964","Other",391777.995191744,"US","United States"
"1964","Solar",NA,"US","United States"
"1964","Total",14368760.9065708,"US","United States"
"1964","Total Renewable",945226.888825856,"US","United States"
"1964","Wind",NA,"US","United States"
"1965","Coal",3826126.37021552,"US","United States"
"1965","Conventional thermal",13834513.1503609,"US","United States"
"1965","Crude Oil",4841938.84059043,"US","United States"
"1965","Geothermal",579.694580416,"US","United States"
"1965","Hydro",603455.903720544,"US","United States"
"1965","Natural Gas",2583223.96977747,"US","United States"
"1965","Nuclear",12650.119751808,"US","United States"
"1965","Other",391179.837133792,"US","United States"
"1965","Solar",NA,"US","United States"
"1965","Total",14842378.7055475,"US","United States"
"1965","Total Renewable",995215.435434752,"US","United States"
"1965","Wind",NA,"US","United States"
"1966","Coal",3946987.12188189,"US","United States"
"1966","Conventional thermal",14656639.3453171,"US","United States"
"1966","Crude Oil",5146628.4221688,"US","United States"
"1966","Geothermal",573.833158976,"US","United States"
"1966","Hydro",604171.583278368,"US","United States"
"1966","Natural Gas",2781511.9006332,"US","United States"
"1966","Nuclear",18802.853837376,"US","United States"
"1966","Other",401209.90150192,"US","United States"
"1966","Solar",NA,"US","United States"
"1966","Total",15681397.5170937,"US","United States"
"1966","Total Renewable",1005955.31793926,"US","United States"
"1966","Wind",NA,"US","United States"
"1967","Coal",4051850.29601206,"US","United States"
"1967","Conventional thermal",15406254.4817812,"US","United States"
"1967","Crude Oil",5466157.65747789,"US","United States"
"1967","Geothermal",967.1345376,"US","United States"
"1967","Hydro",687739.334103808,"US","United States"
"1967","Natural Gas",2944123.41068115,"US","United States"
"1967","Nuclear",25923.894744832,"US","United States"
"1967","Other",392788.211176928,"US","United States"
"1967","Solar",NA,"US","United States"
"1967","Total",16513673.0563444,"US","United States"
"1967","Total Renewable",1081494.67981834,"US","United States"
"1967","Wind",NA,"US","United States"
"1968","Coal",3988309.84996282,"US","United States"
